Regulator	Target
Medtr3g031270	Medtr5g074860
Medtr3g031270	Medtr7g082260
Medtr3g031270	TC179864
Medtr3g031270	contig_13194_1
Medtr3g031270	contig_240068_1
Medtr3g031270	contig_240671_1
Medtr3g031270	contig_70372_1
Medtr3g031270	contig_7713_1
Medtr3g031270	contig_9380_1
Medtr5g025840	AC233671_11
Medtr5g025840	AC233671_3
Medtr5g025840	Medtr1g056530
Medtr5g025840	Medtr4g133890
Medtr5g025840	Medtr5g011950
Medtr5g025840	Medtr5g033490
Medtr5g025840	Medtr5g095430
Medtr5g025840	Medtr7g070800
Medtr5g025840	TC187300
Medtr5g025840	TC193661
Medtr5g025840	contig_132342_1
Medtr5g025840	contig_13734_1
Medtr5g025840	contig_16540_1
Medtr5g025840	contig_69601_1
Medtr5g025840	contig_78916_66
Medtr5g025840	contig_83417_1
Medtr7g093330	Medtr2g014250
Medtr7g093330	Medtr4g130800
Medtr7g093330	Medtr5g055470
Medtr7g093330	Medtr5g081030
Medtr7g093330	Medtr5g084040
Medtr7g093330	Medtr7g070810
Medtr7g093330	TC186643
Medtr7g093330	contig_116732_1
Medtr7g093330	contig_15146_1
Medtr7g093330	contig_170385_1
Medtr7g093330	contig_18539_34
Medtr7g093330	contig_21861_1
Medtr7g093330	contig_60526_1
Medtr7g093330	contig_67546_1
Medtr7g093330	contig_76215_2
Medtr7g093330	contig_90277_1
Medtr5g031880	AC225507_52
Medtr5g031880	Medtr2g014300
Medtr5g031880	Medtr2g025500
Medtr5g031880	Medtr4g025290
Medtr5g031880	Medtr4g087520
Medtr5g031880	Medtr4g119270
Medtr5g031880	Medtr5g006600
Medtr5g031880	Medtr5g015260
Medtr5g031880	Medtr5g044220
Medtr5g031880	Medtr5g079710
Medtr5g031880	Medtr8g043480
Medtr5g031880	TC189206
Medtr5g031880	contig_12163_1
Medtr5g031880	contig_12436_1
Medtr5g031880	contig_130161_1
Medtr5g031880	contig_16181_1
Medtr5g031880	contig_73963_1
Medtr5g031880	contig_93163_1
Medtr5g089220	AC158498_22
Medtr5g089220	Medtr1g016740
Medtr5g089220	Medtr1g018740
Medtr5g089220	Medtr1g042895
Medtr5g089220	Medtr1g042900
Medtr5g089220	Medtr2g088100
Medtr5g089220	Medtr3g015480
Medtr5g089220	Medtr4g070690
Medtr5g089220	Medtr4g077720
Medtr5g089220	Medtr4g087970
Medtr5g089220	Medtr4g124910
Medtr5g089220	Medtr4g130800
Medtr5g089220	Medtr5g033770
Medtr5g089220	Medtr5te056810
Medtr5g089220	Medtr7g083900
Medtr5g089220	Medtr7g110090
Medtr5g089220	Medtr8g058380
Medtr5g089220	contig_112538_1
Medtr5g089220	contig_238034_1
Medtr5g089220	contig_51823_1
Medtr5g089220	contig_59485_1
Medtr5g089220	contig_60877_1
Medtr5g089220	contig_64786_1
Medtr5g089220	contig_68261_1
Medtr5g089220	contig_9381_1
Medtr1g056530	Medtr2g069250
Medtr1g056530	Medtr3g098930
Medtr1g056530	Medtr5g011960
Medtr1g056530	Medtr5g025840
Medtr1g056530	Medtr5g025850
Medtr1g056530	Medtr5g095400
Medtr1g056530	Medtr7g074730
Medtr1g056530	Medtr7g079300
Medtr1g056530	TC174820
Medtr1g056530	TC194537
Medtr1g056530	contig_49939_2
Medtr1g056530	contig_60693_1
Medtr1g056530	contig_63994_3
Medtr1g056530	contig_69051_1
Medtr1g056530	contig_77244_1
Medtr4g075130	Medtr1g096030
Medtr4g075130	Medtr3g085750
Medtr4g075130	Medtr3g096560
Medtr4g075130	Medtr3g117880
Medtr4g075130	Medtr4g071090
Medtr4g075130	Medtr6g086270
Medtr4g075130	Medtr7g085410
Medtr4g075130	Medtr7g092380
Medtr4g075130	Medtr8g083310
Medtr4g075130	Medtr8g097160
Medtr4g075130	contig_51158_1
Medtr4g075130	contig_51387_1
Medtr4g075130	contig_58700_1
Medtr4g075130	contig_73669_1
Medtr4g075130	contig_83806_2
Medtr5g023660	AC225474_25
Medtr5g023660	AL376852
Medtr5g023660	GE347390
Medtr5g023660	Medtr1g090010
Medtr5g023660	Medtr1g105170
Medtr5g023660	Medtr3g080190
Medtr5g023660	Medtr3g083250
Medtr5g023660	Medtr4g061320
Medtr5g023660	Medtr4g087240
Medtr5g023660	Medtr6g090470
Medtr5g023660	Medtr7g098170
Medtr5g023660	contig_49434_3
Medtr5g023660	contig_56550_1
Medtr5g023660	contig_64226_1
Medtr5g023660	contig_75036_1
contig_73997_1	AC232874_1028
contig_73997_1	Medtr1te082200
contig_73997_1	Medtr2g039670
contig_73997_1	Medtr4g104040
contig_73997_1	Medtr5g005120
contig_73997_1	Medtr8g066180
contig_73997_1	contig_108036_1
contig_73997_1	contig_11083_1
contig_73997_1	contig_126967_1
contig_73997_1	contig_130419_2
